purchase_id,student_id,plan_id,date_start,date_end,date_refunded
564,5554,2,2020-04-16,2021-04-16,NULL
565,4220,2,2020-04-16,2021-04-16,NULL
566,973,2,2020-04-16,2021-04-16,NULL
567,9119,2,2020-04-16,2021-04-16,NULL
568,1309,2,2020-04-16,2021-04-16,NULL
569,77397,2,2020-04-16,2021-04-16,NULL
570,40507,0,2020-04-16,2020-05-16,NULL
571,17743,2,2020-04-16,2021-04-16,NULL
572,7294,2,2020-04-16,2021-04-16,NULL
573,4961,2,2020-04-16,2021-04-16,NULL
574,35740,2,2020-04-16,2021-04-16,NULL
575,2124,2,2020-04-16,2021-04-16,NULL
576,42972,2,2020-04-16,2021-04-16,NULL
577,14667,2,2020-04-16,2021-04-16,NULL
578,4506,2,2020-04-16,2021-04-16,NULL
579,8183,0,2020-04-16,2020-05-16,NULL
580,92165,2,2020-04-16,2021-04-16,NULL
581,11386,2,2020-04-16,2021-04-16,NULL
582,6935,2,2020-04-16,2021-04-16,NULL
583,22381,0,2020-04-16,2020-05-16,NULL
584,10393,0,2020-04-16,2020-05-16,NULL
585,11584,0,2020-04-16,2020-05-16,NULL
586,3529,0,2020-04-16,2020-05-16,NULL
587,6579,2,2020-04-16,2021-04-16,NULL
588,26779,0,2020-04-16,2020-05-16,NULL
589,6167,2,2020-04-16,2021-04-16,NULL
590,1474,0,2020-04-16,2020-05-16,NULL
591,42992,2,2020-04-16,2021-04-16,NULL
592,20186,0,2020-04-16,2020-05-16,NULL
593,27283,0,2020-04-16,2020-05-16,NULL
594,1820,2,2020-04-16,2021-04-16,NULL
595,41807,0,2020-04-16,2020-05-16,NULL
596,4164,2,2020-04-16,2021-04-16,NULL
598,51865,0,2020-04-16,2020-05-16,NULL
599,134840,0,2020-04-16,2020-05-16,NULL
600,19389,0,2020-04-16,2020-05-16,NULL
601,2906,2,2020-04-16,2021-04-16,NULL
602,35655,2,2020-04-16,2021-04-16,NULL
603,33741,0,2020-04-16,2020-05-16,NULL
604,6281,2,2020-04-16,2021-04-16,NULL
606,4903,2,2020-04-16,2021-04-16,NULL
607,9252,2,2020-04-16,2021-04-16,NULL
608,42582,0,2020-04-16,2020-05-16,NULL
609,14101,2,2020-04-16,2021-04-16,NULL
610,62892,2,2020-04-16,2021-04-16,NULL
611,15463,2,2020-04-16,2021-04-16,NULL
612,32128,0,2020-04-16,2020-05-16,NULL
